Movement,orig no,connector,DS SQL data type,Underlying data type,"src/tgt data type (ora.db2,sqlSrvr..)",,Len,P,S,Extended,ds notes,src/tgt notes,notes
odbc to ds,305,odbc,timestamp[p],,SQL_TYPE_TIMESTAMPP[6]P,,,,,,,,
odbc to ds,306,odbc,string[36],,SQL_GUID,,,,,,,,
ds to odbc,307,odbc,,,,,,,,,,,
ds to odbc,308,odbc,"BIGINT, NUMBER",,BigInt,,n/a,,n/a,any,,,
ds to odbc,309,odbc,BIGINT,,BigInt,,n/a,,n/a,any,,,
ds to odbc,310,odbc,Not supported,,Binary,,n,,n/a,n/a,,,
ds to odbc,311,odbc,CHAR(n) FOR BIT DATA,,Binary,,n,,n/a,n/a,,,
ds to odbc,312,odbc,BINARY_DOUBLE,,BinaryDouble,,n/a,,n/a,n/a,,,
ds to odbc,313,odbc,BINARY_FLOAT,,BinaryFloat,,n/a,,n/a,n/a,,,
ds to odbc,314,odbc,SMALLINT,,Bit,,n/a,,n/a,n/a,,,
ds to odbc,315,odbc,Not supported,,Bit,,n/a,,n/a,n/a,,,
ds to odbc,316,odbc,CHAR(n),,Char,,n,,n/a,blank,,,
ds to odbc,317,odbc,CHAR(n),,Char,,n,,n/a,Unicode,,,
ds to odbc,318,odbc,DATE,,Date,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,TIMESTAMP,,Date,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,DATETIME,,Date,,n/a,,n/a,n/a,,,
ds to odbc,319,odbc,DATE,,Date,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,DATETIME,,Date,,n/a,,n/a,n/a,,,
ds to odbc,320,odbc,DATE,,Datetime,,n/a,,n/a,n/a,,,
ds to odbc,321,odbc,"DECIMAL(p,s)",,Decimal,,p,,s,n/a,,,
ds to odbc,322,odbc,DECFLOAT,,Double,,p,,n/a,n/a,,,
ds to odbc,,odbc,NUMBER,,Double,,p,,n/a,n/a,,,
ds to odbc,,odbc,FLOAT,,Double,,p,,n/a,n/a,,,
ds to odbc,323,odbc,FLOAT(p),,Double,,p,,n/a,n/a,,,
ds to odbc,324,odbc,REAL,,Float,,p,,n/a,n/a,,,
ds to odbc,,odbc,NUMBER,,Float,,p,,n/a,n/a,,,
ds to odbc,325,odbc,FLOAT(p),,Float,,p,,n/a,n/a,,,
ds to odbc,326,odbc,INTEGER,,Integer,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,INT,,Integer,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,NUMBER,,Integer,,n/a,,n/a,n/a,,,
ds to odbc,327,odbc,INTEGER,,Integer,,n/a,,n/a,n/a,,,
ds to odbc,328,odbc,VARCHAR(n),,LongNVarChar,,n,,n/a,n/a,,,
ds to odbc,,odbc,VARCHAR2(n),,LongNVarChar,,n,,n/a,n/a,,,
ds to odbc,329,odbc,NTEXT,,,,,,,,,,
ds to odbc,,odbc,LONG,,,,,,,,,,
ds to odbc,330,odbc,Not supported,,LongVarBinary,,n,,n/a,n/a,,,
ds to odbc,331,odbc,IMAGE,,LongVarBinary,,n,,n/a,n/a,,,
ds to odbc,,odbc,LONG,,LongVarBinary,,n,,n/a,n/a,,,
ds to odbc,332,odbc,VARCHAR,,LongVarChar,,n,,n/a,blank,,,
ds to odbc,,odbc,VARCHAR2,,LongVarChar,,n,,n/a,blank,,,
ds to odbc,333,odbc,TEXT,,LongVarChar,,n,,n/a,blank,,,
ds to odbc,,odbc,LONG,,LongVarChar,,n,,n/a,blank,,,
ds to odbc,334,odbc,VARCHAR,,LongVarChar,,n,,n/a,Unicode,,,
ds to odbc,,odbc,VARCHAR2,,LongVarChar,,n,,n/a,Unicode,,,
ds to odbc,335,odbc,TEXT,,LongVarChar,,n,,n/a,Unicode,,,
ds to odbc,,odbc,LONG,,LongVarChar,,n,,n/a,Unicode,,,
ds to odbc,336,odbc,CHAR(n),,NChar,,n,,n/a,n/a,,,
ds to odbc,337,odbc,NCHAR(n),,NChar,,n,,n/a,n/a,,,
ds to odbc,338,odbc,VARCHAR(n),,NVarChar,,n,,n/a,n/a,,,
ds to odbc,339,odbc,NVARCHAR(n),,NVarChar,,n,,n/a,n/a,,,
ds to odbc,340,odbc,"DECIMAL(p,s)",,Numeric,,p,,s,n/a,,,
ds to odbc,341,odbc,REAL,,Real,,n/a,,n/a,n/a,,,
ds to odbc,,odbc,NUMBER,,Real,,n/a,,n/a,n/a,,,
ds to odbc,342,odbc,REAL,,Real,,n/a,,n/a,n/a,,,
ds to odbc,343,odbc,SMALLINT,,SmallInt,,n/a,,n/a,any,,,
ds to odbc,,odbc,NUMBER,,SmallInt,,n/a,,n/a,any,,,
ds to odbc,344,odbc,SMALLINT,,SmallInt,,n/a,,n/a,any,,,
ds to odbc,345,odbc,"TIME, TIMESTAMP, DATETIME",,Time,,n/a,,any,any,,,
ds to odbc,346,odbc,"TIME, DATETIME, DATE",,Time,,n/a,,any,any,,,
ds to odbc,347,odbc,"TIMESTAMP, DATETIME",,Timestamp,,n/a,,any,any,,,
ds to odbc,348,odbc,"TIMESTAMP, DATETIME, DATE",,Timestamp,,n/a,,any,any,,,
ds to odbc,349,odbc,TINYINT,,TinyInt,,n/a,,n/a,any,,,
ds to odbc,,odbc,SMALLINT,,TinyInt,,n/a,,n/a,any,,,
ds to odbc,,odbc,NUMBER,,TinyInt,,n/a,,n/a,any,,,
ds to odbc,350,odbc,SMALLINT,,TinyInt,,n/a,,n/a,any,,,
ds to odbc,351,odbc,Not supported,,VarBinary,,n,,n/a,n/a,,,
ds to odbc,352,odbc,VARCHAR(n) FOR BIT DATA,,VarBinary,,n,,n/a,n/a,,,
ds to odbc,353,odbc,VARCHAR(n),,VarChar,,n,,n/a,blank,,,
ds to odbc,,odbc,VARCHAR2(n),,VarChar,,n,,n/a,blank,,,
ds to odbc,354,odbc,VARCHAR(n),,VarChar,,n,,n/a,blank,,,
ds to odbc,355,odbc,VARCHAR(n),,VarChar,,n,,n/a,Unicode,,,
ds to odbc,,odbc,VARCHAR2(n),,VarChar,,n,,n/a,Unicode,,,
ds to odbc,356,odbc,VARCHAR(n),,VarChar,,n,,n/a,Unicode,,,
